OUTPUTS

Time, , Product Mined SC, , , , , Product Mined BCMC, , , , , Product Mined BWMW, , , , , Monthly Cycle Times, , , Hopper, ROM, , , , Stockpile, , , 
Month, Year, Seam X, Seam A, Seam B, Seam D, None, Seam X, Seam A, Seam B, Seam D, None, Seam X, Seam A, Seam B, Seam D, None, SC (min), BCMC (min), BWMW (min), HopperThroughput, Current Contents (t), Addition this Month (t), Reclaimed this Month (t), Average Contents (t), Current Contents (t), Addition this Month (t), Reclaimed this Month (t), Average Contents (t)
